Ajinkya Rahane,Aaron Finch
Ajinkya Rahane,Suresh Raina
Ajinkya Rahane,Pravin Tambe
Ajinkya Rahane,Suryakumar Yadav
Ajinkya Rahane,Murali Vijay
Ajinkya Rahane,Lendl Simmons
Ajinkya Rahane,Shikhar Dhawan
Ajinkya Rahane,Kane Williamson
Ajinkya Rahane,Ashish Reddy
Kevin Pietersen,Aaron Finch
Kevin Pietersen,Suresh Raina
Kevin Pietersen,Praveen Kumar
Kevin Pietersen,Pravin Tambe
Kevin Pietersen,Chris Gayle
Kevin Pietersen,Virat Kohli
Kevin Pietersen,Stuart Binny
Kevin Pietersen,Varun Aaron
Kevin Pietersen,Sreenath Aravind
Kevin Pietersen,Adam Milne
Kevin Pietersen,Yusuf Pathan
Kevin Pietersen,Suryakumar Yadav
Kevin Pietersen,Andre Russell
Kevin Pietersen,Jason Holder
Kevin Pietersen,Umesh Yadav
Kevin Pietersen,Morne Morkel
Kevin Pietersen,Murali Vijay
Kevin Pietersen,Glenn Maxwell
Kevin Pietersen,Pawan Negi
Kevin Pietersen,Chris Morris
Kevin Pietersen,Nathan Coulter-Nile
Kevin Pietersen,Imran Tahir
Kevin Pietersen,Lendl Simmons
Kevin Pietersen,Hardik Pandya
Kevin Pietersen,Krunal Pandya
Kevin Pietersen,Tim Southee
Kevin Pietersen,Shikhar Dhawan
Kevin Pietersen,Kane Williamson
Kevin Pietersen,Ashish Reddy
Kevin Pietersen,Trent Boult
Faf du Plessis,Aaron Finch
Faf du Plessis,Suresh Raina
Faf du Plessis,Dhawal Kulkarni
Faf du Plessis,Pravin Tambe
Faf du Plessis,Chris Gayle
Faf du Plessis,Shane Watson
Faf du Plessis,Varun Aaron
Faf du Plessis,Adam Milne
Faf du Plessis,Suryakumar Yadav
Faf du Plessis,Jason Holder
Faf du Plessis,Pawan Negi
Faf du Plessis,Nathan Coulter-Nile
Faf du Plessis,Lendl Simmons
Faf du Plessis,Krunal Pandya
Faf du Plessis,Tim Southee
Faf du Plessis,Shikhar Dhawan
Faf du Plessis,Kane Williamson
Faf du Plessis,Ashish Reddy
Steven Smith,Aaron Finch
Steven Smith,Pravin Tambe
Steven Smith,Chris Gayle
Steven Smith,Adam Milne
Steven Smith,Yusuf Pathan
Steven Smith,Suryakumar Yadav
